context,question,answer,url
"(ĐTCK) The Board of Directors (Board of Directors) Electricity Finance Company (EVNFINACE - Code: EVF) has just decided to appoint Mr. Le Manh Linh, member of the Board of Directors of EVNFinance term (2023 - 2028)Chairman of the Board. Mr. Le Manh Linh, member of the Board of Directors of EVNFinance The duration of appointment of EVNFinance Board of Directors from 2023 - 2028. The decision takes effect from May 16, 2024.Currently, the Board of Directors of EVNFinance has 6 members, of which Mr. Pham Trung Kien is the Chairman of the Board of Directors. Mr. Le Manh Linh graduated",When does the decision to appoint Mr. Le Manh Linh as Chairman of the Board of EVNFinance take effect?,"May 16, 2024.",https://www.tinnhanhchungkhoan.vn/evnfinance-evf-bo-nhiem-tan-pho-chu-tich-hoi-dong-quan-tri-post345360.html
"The younger brother bought nearly 2 million shares of EVG The younger brother of the Board of Directors of Everland Group Joint Stock Company (HOSE: EVG) has just announced that I bought 1.98 million CP EVG. Specifically, Mr. Le Dinh Tuan bought 1.98 million EVG shares by the matching method in the period from 19-26 April 2024, accounting for 99% of the total number of 2 million shares registered to buy.The cause does not fully comply with the registration quantity because the market price is not suitable for the expected purchase price. EVG stock price movements since the beginning of",Who bought 1.98 million EVG shares?,Mr. Le Dinh Tuan.,https://vietstock.vn/2024/05/em-trai-chu-tich-da-mua-gan-2-trieu-cp-evg-739-1190568.htm
"State Capital Investment and Business Corporation (SCIC) has just announced the list of divestments phase 2 in 2024 with 31 enterprises. In the list, there are 8 listed companies on the stock market including Young Tien Phong Plastic Joint Stock Company (NTP), Ha Giang Mechanical and Mineral JSC (HGM), FPT Joint Stock Company (FPT), Viet Construction Consulting CorporationMale (VGV), An Giang Seafood Import Export Joint Stock Company (AGF), Saigon Spare Parts Equipment Joint Stock Company (SMA), Ben Tre Material Construction Joint Stock Company (VXB) and Hai Hai Construction and Development Joint Stock CompanyRoom (CID). SCIC 2/2024 divestment list The most",How many listed companies are included in SCIC's phase 2 divestment list for 2024?,Eight.,https://cafef.vn/co-dong-nha-nuoc-se-thoai-von-fpt-nhua-tien-phong-ntp-va-nhieu-doanh-nghiep-tren-san-chung-khoan-188240519065606069.chn
"The first Vietnamese technology company reached the top 50 Asian, ""sitting in the same tray"" with Accenture, IBM For the first time, Viet Technology Company ""sat with the top 50 Asian tray"" with big names like Accenture, IBM.This is the result of FPT JSC (HOSE: FPT) after reaching more than 1 billion USD of information technology service revenue for foreign markets in 2023. Photo: FPT According to Gartner's latest global information technology service market report (IT), FPT ranked in the top 50 Asian IT Service companies in accordance with the revenue criteria. After the milestone of more than $ 1",Which Vietnamese company reached the top 50 Asian IT Service companies in 2023?,FPT JSC.,https://vietstock.vn/2024/05/cong-ty-cong-nghe-viet-dau-tien-lot-top-50-chau-a-ngoi-cung-mam-voi-accenture-ibm-4264-1190681.htm
"(ĐTCK) According to the latest global information technology service market report of Gartner, FPT ranks in the top 50 Asian Information Technology Services (IT) services according to the revenue criteria, and at the same time.The only Vietnamese technology company is honored with famous companies such as Accenture, IBM ... Specifically, according to the Gartner Report (Gartner® Market Share: Services, Worldwide), with a milestone of more than $ 1 billion in IT service revenue for foreign markets in 2023, FPT increased by 8 levels compared to the previous year ranking, ranked among the top 50 Asia's leading IT Service companies in",What milestone did FPT achieve in IT service revenue for foreign markets in 2023?,More than $1 billion.,https://www.tinnhanhchungkhoan.vn/tap-doan-dau-tien-cua-viet-nam-lot-top-50-cong-ty-dich-vu-cong-nghe-thong-tin-chau-a-post345329.html
"May 14, 2024: 10 hot shares from Vietstock's PTKT perspective Hot stocks are analyzed in the report of Vietstock Consulting Department including: GAS, GEX, HPG, HDB, MSN, OCB, STB, TPB, VIB and VPB. These stocks are selected according to the technical analysis signals, liquidity, the level of investors' concern ... The following analysis can serve the reference purpose in the short -term as well as long -term as well as long -term.drought. GAS - Vietnam Gas Corporation - JSC Gas stock price has decreased again and the Three Black Candles candle pattern appears in the trading session on May 13,",When did Vietstock's report on hot shares get released?,"May 14, 2024.",https://vietstock.vn/2024/05/ngay-14052024-10-co-phieu-nong-duoi-goc-nhin-ptkt-cua-vietstock-585-1189531.htm
"Major shareholders GC Food wants to divest all nearly 6 million shares Ban Viet Securities Investment Fund Joint Stock Company (VCAM) registered to sell more than 5.9 million shares held at G.C Food Joint Stock Company (UPCoM: GCF), equivalent to 19.24% of the capital.The transaction is expected to take place from May 17-14, 06/2024. Trading purposes to structure the portfolio.Temporarily calculated at the price of GCF shares session 16/05 (VND 17,500/share), VCAM can earn more than VND 103 billion from this divestment activity, thereby no longer a shareholder of GC Food. GCF shares increased by more than 15% compared to",How much can VCAM earn from divesting its shares in GC Food?,More than VND 103 billion.,https://vietstock.vn/2024/05/co-dong-lon-gc-food-muon-thoai-toan-bo-gan-6-trieu-cp-739-1190570.htm
"Duc Thanh Wood sets a target of 65% growth in 2024, buying a new factory After 1 year of many events, Duc Thanh Wood Processing Joint Stock Company (HOSE: GDT) plans more cautiously than previous years, but said that in a position ready to expand capacity if the order situation is positive.. Five years full of events Looking back, Chairman Le Hai Lieu assessed that in 2023, there was a period of too many events, from climate change to geopolitical conflict, inflation and eventually the slow recovery of demand. In the context of disadvantaged, GDT streamlines the operating apparatus to",What growth target has Duc Thanh Wood set for 2024?,65%.,https://vietstock.vn/2024/05/go-duc-thanh-dat-muc-tieu-lai-tang-truong-65-trong-nam-2024-mua-them-1-nha-xuong-moi-737-1190815.htm
"Technical analysis on the afternoon of May 13: Continuing the state of struggle VN-Index and HNX-Index increased and decreased with the liquidity with an increase in the morning, showing that investors are quite careful in the transaction. Technical signals of VN-Index In the morning session on 13/05/2024, VN-Index continued to decrease with the volume with a slight increase in the morning session, showing that the psychology of the private house is quite pessimistic. Currently, the index is still testing the Fibonacci Projection 61.8% and an old resistance in September 2023 (equivalent to 1,235-1,255 points).In a more positive scenario, if the","What technical signal did VN-Index show in the morning session of May 13, 2024?",It continued to decrease with slight volume increase.,https://vietstock.vn/2024/05/phan-tich-ky-thuat-phien-chieu-1605-sac-xanh-lan-toa-thi-truong-585-1190482.htm
"(ĐTCK) Binh Thanh Import Export Production and Import and Export Joint Stock Company (Gilimex, code Gil - HOSE) continues the plan to organize the 2nd General Meeting of Shareholders after the first time. Gilimex approved the plan to organize the 2nd General Meeting of Shareholders on June 4, 2024, the location at the Industrial Cluster - Handicraft Hac Dich, Trang Cat Quarter, Hac Dich Ward, Phu My Town,Ba Ria Vung Tau Province. Previously, on 5/5, Gilimex held the first General Meeting of Shareholders when recorded 64.74% of the total number of shares with the right to vote to attend, lower",When is Gilimex planning to hold the 2nd General Meeting of Shareholders?,"June 4, 2024.",https://www.tinnhanhchungkhoan.vn/gilimex-gil-len-ke-hoach-to-chuc-dai-hoi-dong-co-dong-lan-2-vao-dau-thang-6-post345221.html
"Two individuals related to the Board of Directors of GSM to 3 million shares are 14% lower than the market On 07/05, Ms. Nguyen Thi Linh Giang bought more than 2.9 million shares of Huong Son Hydroelectric Joint Stock Company (UPCoM: GSM), thereby becoming a major shareholder with more than 10.21%ownership. On the same day, Ms. Nguyen Thi Nhan Ai sold the amount of shares equivalent to Ms. Giang's purchase.After the transaction, Ms. Ai is no longer a shareholder of GSM. In terms of connection, both have contacted with Mr. Nguyen Huy Tuan - Member of the Board of Directors",What percentage of ownership did Ms. Nguyen Thi Linh Giang achieve after purchasing the shares?,More than 10.21%.,https://vietstock.vn/2024/05/hai-ca-nhan-lien-quan-uy-vien-hdqt-gsm-sang-tay-gan-3-trieu-cp-thap-hon-thi-truong-14-739-1189389.htm
"(DTCK) International Gas Transport Joint Stock Company (GAS Shipping, GSP Code - HOSE) planned to pay dividends by stock in 2023 with a rate of 10%, deployed in the second quarter of 2024. Gas Shipping through the plan to issue shares in 2023 dividends at a rate of 10%, corresponding to shareholders owning 100 shares will receive 10 new shares, expected to be implemented in the second quarter of 2024. With 55.8 million shares in circulation, it is estimated that Gas Shipping will issue an additional 5.58 million new shares. In terms of business activities, in the first quarter of",What is the planned dividend rate by stock for GAS Shipping in 2023?,10%.,https://www.tinnhanhchungkhoan.vn/gas-shipping-gsp-sap-tra-co-tuc-ty-le-10-bang-co-phieu-post345374.html
"HAGL warns of scam and fake websites Hoang Anh Gia Lai Joint Stock Company (HAGL, HOSE: HAG) has just issued a warning to the scam and the company's fake website. HAGL said at present, the situation of fake website of HAGL Group with the address: https://xuatkhauviet.com/.This website has similar interfaces and information but inserted into the information that mobilizes capital to invest in HAGL, the tricks are made very sophisticatedly to cheat shareholders, investors and customers interested in the public.Ty. Home interface of https://xuatkhauviet.com/ In addition, HAGL fake website to call for smart accumulation investment to market products and develop",What is the URL of the fake website that HAGL has warned about?,https://xuatkhauviet.com/,https://vietstock.vn/2024/05/hagl-canh-bao-trang-web-lua-dao-va-gia-mao-830-1189362.htm
"Technical analysis on the afternoon of May 17: The recovery momentum continues to be maintained VN-Index and HNX-Index simultaneously increased with the volume of transactions with slight decline in the morning showing the psychological psychology of investors. Technical signals of VN-Index In the morning session on May 17, 2024, VN-Index increased with the volume with a slight decline in the morning, showing that the psychology of investors was quite confused. However, the index continues to increase after the successful test of the 50-day SMA (equivalent to 1,245-1,255 points) in the context of the MACD indicator is above zero, showing the","What did the VN-Index do in the morning session on May 17, 2024?",The VN-Index increased with a slight decline in volume.,https://vietstock.vn/2024/05/phan-tich-ky-thuat-phien-chieu-1605-sac-xanh-lan-toa-thi-truong-585-1190482.htm
"(ĐTCK) In just 2 days, 2 major shareholders announced the sale of shares of Hai An Transport and Costnets (HAH - HOSE code) with a total volume of more than 5.4 million shares. Sao A D.C Investment Joint Stock Company has just sold 190,000 HAH shares, reduced its ownership from 10.01%, 9.83% of charter capital, transactions were implemented on May 7. After 1 day, on May 8, Viconship (VSC code - HOSE) sold 5,278,500 HAH shares, reduced ownership from 7.53%, 2.53% and was no longer a shareholderlarge at Hai An transportation and loading and unloading. Before Viconship sold stocks, Vconship",How many HAH shares did Viconship sell on May 8?,"5,278,500 shares.",https://www.tinnhanhchungkhoan.vn/them-co-dong-lon-ban-ra-co-phieu-van-tai-va-xep-do-hai-an-hah-post345299.html
"(ĐTCK) AFC Vietnam Fund maintains an optimistic perspective on the strong recovery of the market in May and June. AFC Funds has just announced the latest updates of macro developments and Vietnam's stock market. According to AFC Funds, the global financial market has undergone a large -scale seller in April 2024, which comes from tensions between Israel and Iran, the fear of global supply chain broken broken.The fracture affects the price of raw materials and stubborn inflation index in the US forcing the US Federal Reserve (Fed) to delay the interest rate raising. The combination of geopolitical instability, inflationary pressure","What is AFC Vietnam Fund's perspective on the market recovery in May and June?

","estion
What is AFC Vietnam Fund's perspective on the market recovery in May and June?

### Answer
The Fund is optimistic about the strong recovery of the market.",https://www.tinnhanhchungkhoan.vn/afc-vietnam-fund-thi-truong-se-hoi-phuc-trong-thang-5-va-thang-6-post345201.html
"At the end of May 17, 2024, HNG's HNG shares suddenly increased with 4,470 dong/share, white on the seller.HNG's monk's movement takes place in the context of a group of pig raising stocks, including HAG of Hoang Anh Gia Lai (HAGL), and the drama before the gain of the price of pigs. Recently, the price of live hog has continuously increased ""hot"" on a large scale, many places to the price of 67,000 VND/kg, equivalent to the peak price in early July 2023.This quickly ferry heating on the stock of livestock stocks on the floor, including HAG, Dabaco (DBC), BAF","What is the price increase of HNG shares on May 17, 2024?","4,470 dong/share.",https://cafef.vn/du-ty-phu-tran-ba-duong-noi-hagl-agrico-chi-con-xuong-thoi-co-phieu-hng-van-bat-ngo-kich-tran-nhap-cuoc-dua-voi-hag-188240518104834615.chn
"In the first 4 months of 2024, the total amount of hot rolled steel imported to Vietnam was 3.93 million tons, up 32% over the same period 2023 (DTCK) The amount of hot rolled steel (HRC) imported into Vietnam continues to climb high, reaching 890,000 tons, 1.5 times the amount of domestic production in April.With abnormal cheap. According to Customs data, in April 2024, the amount of hot rolled steel (HRC) imported into Vietnam continued to climb high, reaching 890,000 tons, 1.5 times the amount of domestic production.In particular, hot rolled steel imported from China accounts for 71%. In the",What was the total amount of hot rolled steel imported to Vietnam in the first 4 months of 2024?,3.93 million tons.,https://www.tinnhanhchungkhoan.vn/thep-can-nong-gia-re-tiep-tuc-tran-vao-viet-nam-trong-thang-4-post345372.html
"Given that domestic consumer demand is too low, the reason for businesses (DN) to produce moderately, Vietnam Cement Association proposes the Government to have solutions to increase the consumption of cement. Consumption is difficult, many cement enterprises are at risk of stopping production. Vicem Ha Tien, Bim Son and many big and small names in the cement industry repeatedly reported tens of billions of dong in the first quarter of 2024. The main source of this loss stems from weak demand, decreased consumption, pulling revenue and profits of cement manufacturers. Quarter I/2024 revenue of Vicem Ha Tien Cement Joint Stock",What is the main reason for the reported losses of cement enterprises like Vicem Ha Tien in early 2024?,Weak domestic consumer demand.,https://www.tinnhanhchungkhoan.vn/de-xuat-giai-phap-tang-tieu-thu-xi-mang-tai-thi-truong-noi-dia-doanh-nghiep-post345142.html
"(ĐTCK) After resigning the financial director at VNDirect Securities Joint Stock Company (code VND - HOSE), Ms. Vu Nam Huong continues to resign more position of members of the Board of Directors at I.P.A Investment Group Joint Stock Company (IPA code- HNX floor). On May 16, I.P.A Investment Group received an application for a member of the Board of Directors for the 2022 - 2027 term of Ms. Vu Nam Huong for personal reasons. According to research, Ms. Huong graduated from Banking and Finance, National Economics University.Currently, Ms. Huong is a member of the Board of Directors, holding the position",Why did Ms. Vu Nam Huong resign from her position at I.P.A Investment Group?,For personal reasons.,https://www.tinnhanhchungkhoan.vn/tap-doan-dau-tu-ipa-ipa-ba-vu-nam-huong-tu-nhiem-vi-tri-thanh-vien-hdqt-post345376.html
"An Gia Real Estate Investment and Development Joint Stock Company (An Gia Group - Securities Code: AGG) has just announced the change of personnel, to the State Securities Commission and HOSE. Accordingly, AGG has 3 members of the Board of Directors for the term 2024-2029, including Mr. Nguyen Ba Sang, Mr. Louis Nguyen and Mr. Le Duy Binh.In particular, Mr. Nguyen Ba Sang is the Chairman of the Board of Directors and the legal representative of the old term, elected as a member of the Board of Directors and the legal representative for the term 2024 - 2029. Mr. Louis",Who is the Chairman of the Board of Directors of An Gia Group for the term 2024-2029?,Mr. Nguyen Ba Sang.,https://cafef.vn/roi-khoi-ldg-shark-louis-nguyen-lam-sep-o-an-gia-group-188240517145636938.chn
"Market price to the top, Lix closed the right to issue bonus shares 100% Shareholders of Lix Lix Dough Joint Stock Company (Lixco, HOSE: LIX) will be very excited about the news that the company issues a 100%bonus shares, pays 2023 dividends in a 30%cash, after Lix stocks climb to the region.The highest peak from listing in 2009 to the present. Lixco has just announced the Resolution of the Board of Directors to implement the plan to issue shares to increase shares from equity (stock reward). Accordingly, the company will issue 32.4 million shares for shareholders in the rate of",What is the bonus share issuance rate announced by Lixco?,100%,https://vietstock.vn/2024/05/thi-gia-len-dinh-lix-chot-quyen-phat-hanh-co-phieu-thuong-ty-le-100-764-1189469.htm
"At the investor meeting in the first quarter of 2024, Mr. Doan Van Hieu Em - Member of the Board of Directors of Mobile World Investment Joint Stock Company (MWG) had shared a loss of more than 20 billion from the PT joint venture companyEra Blu Elektronik (Erablue) in the first quarter of 2024.According to him, this hole is in the plan.And it is expected that Erablue will achieve a breakeven point, even profitable from Q4/2024. Mr. Nguyen Duc Tai, Chairman of the Board of Directors of MWG also shared: ""The Erablue series is exceeding my personal expectations. Indonesia is",How much loss did Erablue report in the first quarter of 2024?,More than 20 billion.,https://cafef.vn/sep-the-gioi-di-dong-khang-dinh-chuoi-dien-may-tai-indonesia-lo-trong-ke-hoach-tuyen-bo-se-co-lai-tu-quy-4-nam-nay-188240513144315187.chn
"The session on 14-5, VN-Index increased slightly by 3 points, to 1,243 points.The matching liquidity in the market reached nearly 640.5 million units, equivalent to VND 15,613 billion. Foreign investors continued to attract attention in the market when net selling nearly 800 billion.The focus of net selling is VHM shares of Vinhomes Joint Stock Company with a value of VND 148 billion, followed by VPB shares of VPBank VND 100 billion and HPG of Hoa Phat Group VND 94 billion ... In the opposite direction, MWG shares of Mobile World Investment Joint Stock Company continue to be bought by the",By how many points did the VN-Index increase on the session of 14-5?,3 points.,https://cafef.vn/co-phieu-the-gioi-di-dong-co-gi-ma-khoi-ngoai-o-at-mua-vao-13-phien-lien-tiep-188240515104546759.chn
"Hau decided to dissolve 4K Farm and Logistics Toan Tin, what did MWG President say? During the first quarter investor meeting, Chairman of the Board of Directors of MWG Nguyen Duc Tai said that 4K Farm and Logistisc Tin Tin were in the coverage of the comprehensive restructuring strategy.He also emphasized that the 4K Farm dissolution does not have any significant impact on this year's profit target. At the investor meeting in the first quarter of 2024, before the question related to the reason for dissolution of two subsidiaries, 4K Farm and Logistics JSC Toan Tin, Mr. Nguyen Duc Tai",Why did Hau dissolve 4K Farm and Logistics Toan Tin?,They were part of a comprehensive restructuring strategy.,https://vietstock.vn/2024/05/hau-quyet-dinh-giai-the-4k-farm-va-logistics-toan-tin-chu-tich-mwg-noi-gi-737-1189341.htm
"After the ""sealing chewing cake poisoning"", the owner of the Givral brand consecutively, breaking up with Tin Phat ice cream The revenue of the first quarter of 2024 went down, while the interest expense increased sharply, the och pity the net loss of nearly 20 billion dong, heavier than the loss of 12 billion a year ago. Och's interest and net interest expenses from 2018 to the present According to One Capital Hospitality Joint Stock Company (HNX: OCH), due to the difficult economic situation, this period only achieved 118 billion dong revenue, down 9% compared to the same period in",How much did OCH's net loss amount to in the first quarter of 2024?,Nearly 20 billion dong.,https://vietstock.vn/2024/05/sau-phot-ngo-doc-banh-su-chu-thuong-hieu-givral-lo-lien-tiep-chia-tay-kem-tin-phat-737-1190424.htm
"OGC will focus on real estate development in Hanoi and Ho Chi Minh City At the Annual General Meeting of Shareholders in 2024, on the morning of May 16, the Board of Directors of the Ocean Group Joint Stock Company (HOSE: OGC) shared about many strategic orientations for the middle and long term, with the main focus on the development of theReal estate projects in big cities like Hanoi and Ho Chi Minh City. OGC's annual General Meeting of Shareholders was held on the morning of May 16. Looking back at 2023, OGC recorded a strong growth step compared to",When was OGC's Annual General Meeting of Shareholders held in 2024?,On the morning of May 16.,https://vietstock.vn/2024/05/ogc-se-tap-trung-vao-phat-trien-bat-dong-san-o-ha-noi-va-tphcm-737-1190605.htm
"(ĐTCK) On May 15, 2024, One Capital Hospitality Joint Stock Company (OCH stock code) successfully organized the Annual General Meeting of Shareholders (General Meeting of Shareholders) in 2024, through many important contents. In 2023, there was a year with many unusual and difficult fluctuations for businesses around the world.For OCH, the challenge also comes from the trend of tightening spending and consumer shift between different generations.This requires the company to choose to invest accurately in quality products but affordable, serving the actual needs of customers, and must preserve and promote heritage values.. Despite many challenges, last year still bearing a",When did One Capital Hospitality hold its 2024 Annual General Meeting of Shareholders?,"May 15, 2024.",https://www.tinnhanhchungkhoan.vn/nam-2024-och-hoan-thanh-tai-co-cau-va-ke-hoach-phat-trien-cho-giai-doan-5-nam-tiep-theo-post345255.html
"OGC AGM on May 16 (ĐTCK) In the morning of May 16, Ocean Group Joint Stock Company (OGC - HOSE) successfully organized the Annual General Meeting of Shareholders in 2024, through many important business orientation inthis year. The main focus is to develop real estate projects in big cities like Hanoi and Ho Chi Minh City. At the end of 2023, the total consolidated revenue of OGC reached VND 1,073 billion, equal to 103% compared to the implementation of 2022;The consolidated after -tax profit reached more than VND 140 billion, completing the goal from the beginning of the year and",When did Ocean Group Joint Stock Company hold its Annual General Meeting of Shareholders in 2024?,May 16.,https://www.tinnhanhchungkhoan.vn/dhcd-tap-doan-dai-duong-ogc-tap-trung-cho-chien-luoc-trung-han-post345335.html
"PDR President and related companies want to keep the rate after the offering of more than 134 million shares to existing shareholders On May 16, Chairman of the Board of Directors Nguyen Van Dat and the relevant company registered to buy a total of nearly 64 million PDR shares in the offering of more than 134 million shares for existing shareholders of Phat Dat Real Estate Development Joint Stock Company (HOSE: PDR). Specifically, Mr. Dat personally registered to buy nearly 51.5 million shares, and the involved side was Phat Dat Holdings Co., Ltd. registered to buy nearly 12.3 million shares.After",How many PDR shares did Nguyen Van Dat personally register to buy?,Nearly 51.5 million shares.,https://vietstock.vn/2024/05/chu-tich-pdr-va-cong-ty-lien-quan-muon-giu-nguyen-ty-le-sau-dot-chao-ban-hon-134-trieu-cp-cho-co-dong-hien-huu-739-1190903.htm
"(ĐTCK) After the first time, it is impossible to organize the annual General Meeting of Shareholders, PetroVietnam General Service Joint Stock Corporation (Petrosetco, PET - HOSE Code) planning to organize the 2nd Congress. On June 14, Petrosetco will hold the 2nd annual General Meeting of Shareholders in Ho Chi Minh City.HCM.In particular, the company will announce the congress documents from 24/5/2024. Earlier, on the morning of April 26, Petrosetco organized the annual shareholder meeting of 2024 times but only 36.2% of the total number of shares had the right to vote to attend, lower than the requirement of the darkness",When is Petrosetco’s 2nd annual General Meeting of Shareholders scheduled to be held?,"June 14, 2024.",https://www.tinnhanhchungkhoan.vn/petrosetco-pet-to-chuc-dai-hoi-dong-co-dong-lan-2-vao-ngay-146-post345302.html
"(ĐTCK) Hanoi Stock Exchange (HNX) has just announced the time of bringing shares of Pomina Steel Joint Stock Company (POM code) back to UPCoM. Accordingly, nearly 280 million POM shares will be traded on UPCoM from May 23, 2024 - ie on the 5th session of the next week.Reference price on the first trading day is VND 2,800/share. Earlier, HOSE has made a decision to cancel compulsory listing POM shares from 10/5 because Pomina steel violated late to submit annual financial statements for three consecutive years. Regarding the business situation of POM, in the first quarter of 2024, the company",When will Pomina Steel Joint Stock Company (POM) shares start trading on UPCoM?,"May 23, 2024.",https://www.tinnhanhchungkhoan.vn/co-phieu-pomina-pom-tro-lai-giao-dich-tren-upcom-tu-ngay-2305-post345466.html
"Vietnam Petroleum Power Corporation (PV Power, Code: POW) announced the estimated business results in April 2024 with a total revenue of 3,278 billion dong, up 25% over the same period last year.and reached 138% of the monthly plan.In the first 4 months of 2024, revenue was estimated at VND 9,401 billion. In which, Ca Mau 1 & 2 power plant contributes the most with 1,210 billion dong of revenue, Vung Ang 1 Power Plant contributes 1,172 billion dong of revenue and Nhon Trach 2 contributed VND 794 billion in revenue. Electricity revenue in April is estimated at VND 3,240 billion;The",What was the total revenue of PV Power in April 2024?,"3,278 billion dong.",https://cafef.vn/doanh-thu-ban-dien-cua-pv-power-tang-nong-ngay-dau-mua-nang-nong-188240516102526607.chn
"(DTCK) PV Power said that in April, the demand for electricity increased in all three regions, the average total electricity market price also increased compared to the first months of the year to help good growth results. According to the estimated April business results of the Vietnam Petroleum Power Corporation (PV Power - POW Code), the company recorded the total revenue estimated at VND 3,278 billion, up 25% over the same period last year andExceeding 38% of the monthly plan. PV Power said, April is the end of the dry season in the South, at the beginning of the dry",What was PV Power's estimated total revenue in April 2023?,"VND 3,278 billion.",https://www.tinnhanhchungkhoan.vn/nang-nong-gay-gat-pv-power-pow-mang-ve-3278-ty-dong-doanh-thu-thang-4-tang-25-post345375.html
"Ho Chi Minh City will build 4,500 classrooms from now to 2025, to celebrate the 50th anniversary of the country.Photo: Le Toan The People's Committee of Ho Chi Minh City has just issued a plan to implement the project to build 4,500 classrooms, from now until 2025. The project is implemented towards the goal of reaching 300 classrooms/10,000 population of school age,Celebrate the 50th anniversary of the country. According to the plan, the city will invest in a socialization method with 110 projects with a scale of 2,638 classrooms, investing in about VND 24,803 billion. In particular, the city called",How many classrooms does Ho Chi Minh City plan to build by 2025?,"4,500 classrooms.",https://www.tinnhanhchungkhoan.vn/tphcm-keu-goi-dau-tu-110-truong-hoc-tong-von-24800-ty-dong-post345180.html
"The resolution of flooded by the tidal area in Ho Chi Minh City has considered climate change factors, phase I has the risk of increasing capital from VND 9,976 billion to VND 14,398 billion due to delayed progress. Muong Chuoi sluice, Nha Be district, a project of the project, has now completed the construction of Van and European doors.Photo: Anh Quan Trung Nam Construction Investment Joint Stock Company (investor) has just issued Document No. 304/024/BCGSĐĐĐ/TNG (4th time) to Ho Chi Minh City People's Committee for supervision and evaluationDue to the Ho Chi Minh City dynasty, there is a climate change",What is the projected increase in capital for phase I of the tidal area flood resolution project in Ho Chi Minh City due to delayed progress?,"From VND 9,976 billion to VND 14,398 billion.",https://www.tinnhanhchungkhoan.vn/sieu-du-an-chong-ngap-tai-tphcm-nguy-co-tang-von-hon-4000-ty-dong-post345313.html
"(DTCK) The strong increase of gold price may have attracted attention this year, but silver even increased sharply because this precious metal benefits from strong financial and industrial needs. Silver prices increased nearly 25% by 2024, far beyond gold and became one of the main goods with the best developments of the year.However, in terms of relative, silver price is still cheap.Currently, about 80 ounce of silver to buy 1 ounce of gold, compared to the average of 20 years is 68 ounces of silver to buy 1 ounce of gold. Gold and silver mainly move in parallel because both",By what percentage did silver prices increase by 2024?,Nearly 25%.,https://www.tinnhanhchungkhoan.vn/bac-duoc-du-bao-se-tiep-tuc-tang-gia-post345414.html
"(DTCK) After 4 months of 2024, PV Drilling estimated to bring about 190 billion dong of profit after tax, completing half of the year plan of 380 billion dong. In the meeting about the medium, long -term development strategy/plan and implement the 2024 plan of Vietnam Oil and Gas Group (Petrovietnam) with the Petroleum Drilling and Drilling Corporation (PV Drilling - PVD code)Over the weekend, Mr. Nguyen Xuan Cuong, General Director of PV Drilling, said that all the owners have long -term contracts abroad, PV Driling is actively investing and hiring more rigs. In the first 4 months of PV",How much profit after tax did PV Drilling estimate to achieve in the first four months of 2024?,190 billion dong.,https://www.tinnhanhchungkhoan.vn/pv-drilling-pvd-hoan-thanh-mot-nua-chi-tieu-loi-nhuan-nam-sau-4-thang-post345482.html
"PVP is fined more than VND 250 million On 04/04/2024, Ho Chi Minh City Tax Department issued an administrative sanctioning decision for Petroleum Petroleum Transport Joint Stock Company (HOSE: PVP). Accordingly, the PVP was fined 252.5 million VND for wrong declaration of corporate income, resulting in a lack of payable tax amounts. Regarding the business situation, the company has a revenue in the quarter of 2024 at 373.2 billion dong, up 22% over the same period last year.However, after tax profit goes back 2% to 46 billion. Business results of PVP The total assets on March 31, 2024 of the",Why was PVP fined VND 252.5 million?,For wrong declaration of corporate income.,https://vietstock.vn/2024/05/pvp-bi-phat-thue-hon-250-trieu-dong-737-1189818.htm
"In the first quarter of schedule, Savimex is about to pay a dividend of 5% in money Recently, the Board of Directors of Savimex passed the final registration date of May 31, 2024 to pay dividends in 2023 in cash in the rate of 5% (1 CP received 500 VND) and proceeded to pay on July 15, 2024. Savimex Economic and Import -Export Joint Stock Company (HOSE: SAV) is circulating 21.56 million shares, expected to spend more than 10 billion in cash to pay to shareholders.Great shareholders E-Land Asia Holding (Singapore) (owning 47.63% of SAV capital) will receive more than",When is Savimex scheduled to pay the 2023 dividends?,"July 15, 2024.",https://vietstock.vn/2024/05/quy-1-thuc-hien-dung-tien-do-savimex-sap-tra-co-tuc-5-bang-tien-738-1189723.htm
"The stock market shook, many stocks were under strong semi -pressure, dropping the previous price increase.However, there are still stocks that go against the trend, even increasing the ""hand -on"", typically the case of SD9 of Song Da Joint Stock Company 9. This stock has just increased by more than 5% to 10,200 VND/share, highMost in the past 2 years. In less than 2 weeks, SD9 has increased by 20%.The momentum of ""loading head"" comes from the session of April 26.Quite coincidentally, this is also the day when the Da 9 shareholder suddenly ""ting ting"" dividends of 2017 in the",How much did SD9 increase in less than 2 weeks?,20%.,https://cafef.vn/niem-vui-nhan-doi-cua-co-dong-ho-song-da-tien-co-tuc-bi-khat-10-lan-tu-2017-bat-ngo-ting-ting-vao-tai-khoan-co-phieu-boc-dau-len-dinh-2-nam-188240513150242589.chn
